S.NO.,REFUND DATE,"IRCTC ORDER NO.","BANK BOOKING REF.NO.","BANK REFUND REF.NO.","REFUND AMOUNT",DEBITED ON,"CUST.ACC.NO.",REMARKS
1,08-Apr-2024,100004657630046,189933801239653,1551648,105.28,10-Apr-2024,,
2,08-Apr-2024,100004843871187,646812859833255,1551650,1590,10-Apr-2024,,
3,08-Apr-2024,100004893337460,137358878262377,1551651,210,10-Apr-2024,,
4,08-Apr-2024,100004707538694,846723815347125,1551652,160,10-Apr-2024,,
5,08-Apr-2024,100004879015672,958182872697880,1551653,501.44,10-Apr-2024,,
6,08-Apr-2024,100004902697876,197099881472637,1551655,433.15,10-Apr-2024,,
7,08-Apr-2024,100004898669216,978037880281377,1551656,1085,10-Apr-2024,,
8,08-Apr-2024,100004901894176,372328881287436,1551657,3200,10-Apr-2024,,
9,08-Apr-2024,100004882759184,156343874009622,1551660,2230,10-Apr-2024,,
10,08-Apr-2024,100004876215928,402277871310406,1551661,90,10-Apr-2024,,
11,08-Apr-2024,100004901398011,117743881184536,1551662,150.72,10-Apr-2024,,
12,08-Apr-2024,100004903315287,251587881844556,1551663,1120.85,10-Apr-2024,,
13,08-Apr-2024,100004819148352,203201850404991,1551665,1780,10-Apr-2024,,
14,08-Apr-2024,100004843773052,151571859813301,1551666,1730,10-Apr-2024,,
15,08-Apr-2024,100004891036850,148185877306376,1551667,2555,10-Apr-2024,,
16,08-Apr-2024,100004678653679,153742807470905,1551668,335,10-Apr-2024,,
17,08-Apr-2024,100004874919587,205362870897773,1551647,521.44,10-Apr-2024,,
18,08-Apr-2024,100004903515250,220672882034230,1551658,2015,10-Apr-2024,,
19,08-Apr-2024,100004896324114,853718879380788,1551677,195,10-Apr-2024,,
20,08-Apr-2024,100004896259932,965435879386784,1551688,220,10-Apr-2024,,
21,08-Apr-2024,100004899972449,120806881015880,1551699,780,10-Apr-2024,,
22,08-Apr-2024,100004902407346,644182881402221,1551669,1965.4,10-Apr-2024,,
23,08-Apr-2024,100004864842061,149651867329460,1551670,205.36,10-Apr-2024,,
24,08-Apr-2024,100004888984196,737723876549143,1551672,910,10-Apr-2024,,
25,08-Apr-2024,100004898983630,207558880351997,1551673,365,10-Apr-2024,,
26,08-Apr-2024,100004874459129,172936870490994,1551674,550.36,10-Apr-2024,,
27,08-Apr-2024,100004888844899,625066876541633,1551675,1475,10-Apr-2024,,
28,08-Apr-2024,100004809826764,454605847673543,1551678,1780.36,10-Apr-2024,,
29,08-Apr-2024,100004873306717,103003870276366,1551679,140.36,10-Apr-2024,,
30,08-Apr-2024,100004902407725,193634881404587,1551680,1895.4,10-Apr-2024,,
31,08-Apr-2024,100004823548945,788302852250069,1551682,960.36,10-Apr-2024,,
32,08-Apr-2024,100004816570113,103992849209889,1551683,3410.72,10-Apr-2024,,
33,08-Apr-2024,100004864674991,457712867322832,1551684,130,10-Apr-2024,,
34,08-Apr-2024,100004788834313,705256840663875,1551685,420.28,10-Apr-2024,,
35,08-Apr-2024,100004842382093,123374859513789,1551687,2275,10-Apr-2024,,
36,08-Apr-2024,100004699652444,564658813077432,1551689,1710.56,10-Apr-2024,,
37,08-Apr-2024,100004893337413,624388878254421,1551690,435,10-Apr-2024,,
38,08-Apr-2024,100004899452594,983680880611755,1551692,57,10-Apr-2024,,
39,08-Apr-2024,100004874863379,669884870811682,1551693,820.36,10-Apr-2024,,
40,08-Apr-2024,100004888705528,254168876382148,1551694,765,10-Apr-2024,,
41,08-Apr-2024,100004891337006,178873877319026,1551695,2555,10-Apr-2024,,
42,08-Apr-2024,100004895681907,106870879208677,1551696,1105,10-Apr-2024,,
43,08-Apr-2024,100004899565528,311083880691340,1551698,670.36,10-Apr-2024,,
44,08-Apr-2024,100004902214128,894810881347202,1551700,197.7,10-Apr-2024,,
45,08-Apr-2024,100004902731738,808009881473994,1551701,3079.05,10-Apr-2024,,
46,08-Apr-2024,100004903714203,195553882155887,1551703,378.6,10-Apr-2024,,
47,21-Mar-2024,100004867331086,100000373575669,1551767,1966.3,10-Apr-2024,,
48,05-Apr-2024,100004897250438,100000373575681,1551768,357.7,10-Apr-2024,,
49,09-Apr-2024,100004886657475,515849875677409,1551715,2390,10-Apr-2024,,
50,09-Apr-2024,100004904261454,683923882285980,1551716,3255,10-Apr-2024,,
51,09-Apr-2024,100004862932663,133143866675981,1551717,305.36,10-Apr-2024,,
52,09-Apr-2024,100004905174552,991251882609720,1551718,110,10-Apr-2024,,
53,09-Apr-2024,100004899504857,169491880692104,1551720,370.36,10-Apr-2024,,
54,09-Apr-2024,100004905178877,167521882636318,1551721,1830.36,10-Apr-2024,,
55,09-Apr-2024,100004879235691,205627872741764,1551722,6280,10-Apr-2024,,
56,09-Apr-2024,100004903392475,104005881937813,1551723,580,10-Apr-2024,,
57,09-Apr-2024,100004885230642,211855875269855,1551725,2465,10-Apr-2024,,
58,09-Apr-2024,100004861059371,534914865959214,1551727,1740.72,10-Apr-2024,,
59,09-Apr-2024,100004906011498,155322882808138,1551728,830,10-Apr-2024,,
60,09-Apr-2024,100004905050661,171998882528447,1551730,4472.16,10-Apr-2024,,
61,09-Apr-2024,100004901272877,138894881190849,1551731,100,10-Apr-2024,,
62,09-Apr-2024,100004888705500,211633876378635,1551732,765,10-Apr-2024,,
63,09-Apr-2024,100004903392450,108188881932207,1551733,1570,10-Apr-2024,,
64,09-Apr-2024,100004905895806,736089882790849,1551735,3005.4,10-Apr-2024,,
65,09-Apr-2024,100004899504962,882491880708521,1551736,495,10-Apr-2024,,
66,09-Apr-2024,100004904181610,192591882284615,1551738,5156.3,10-Apr-2024,,
67,09-Apr-2024,100004904579186,144047882341743,1551740,443.15,10-Apr-2024,,
68,09-Apr-2024,100004906011553,648963882809797,1551741,2840,10-Apr-2024,,
69,09-Apr-2024,100004895754102,729459879222468,1551742,70.36,10-Apr-2024,,
70,09-Apr-2024,100004904412711,176151882341077,1551743,2078.6,10-Apr-2024,,
71,09-Apr-2024,100004883082013,842330874208714,1551745,510,10-Apr-2024,,
72,09-Apr-2024,100004805234769,103759846222583,1551746,240.36,10-Apr-2024,,
73,09-Apr-2024,100004905453694,111997882696958,1551747,785,10-Apr-2024,,
74,08-Apr-2024,100004899778856,138220880952677,1551649,280.36,10-Apr-2024,,
75,08-Apr-2024,100004772860201,209189834986575,1551654,80,10-Apr-2024,,
76,08-Apr-2024,100004902840256,182159881483837,1551659,1607.7,10-Apr-2024,,
77,08-Apr-2024,100004899760809,166152880947245,1551664,85.36,10-Apr-2024,,
78,08-Apr-2024,100004903631698,188322882151736,1551671,1608.6,10-Apr-2024,,
79,08-Apr-2024,100004896967506,606986879506299,1551676,670.72,10-Apr-2024,,
80,08-Apr-2024,100004893337513,173712878270375,1551681,2100,10-Apr-2024,,
81,08-Apr-2024,100004891729128,318189877614403,1551686,1120,10-Apr-2024,,
82,08-Apr-2024,100004657460863,409436801200563,1551691,1410.28,10-Apr-2024,,
83,08-Apr-2024,100004898577697,353370880280321,1551697,1580.72,10-Apr-2024,,
84,08-Apr-2024,100004903220043,134231881710230,1551702,1761.44,10-Apr-2024,,
85,09-Apr-2024,100004905928461,122368882793866,1551749,2840,10-Apr-2024,,
86,09-Apr-2024,100004903083612,137436881703010,1551714,115,10-Apr-2024,,
87,09-Apr-2024,100004899353438,181810880519454,1551719,840.36,10-Apr-2024,,
88,09-Apr-2024,100004886541133,123019875586972,1551724,1220,10-Apr-2024,,
89,09-Apr-2024,100004894721502,849925878680855,1551729,465,10-Apr-2024,,
90,09-Apr-2024,100004805178832,366865846213641,1551734,240,10-Apr-2024,,
91,09-Apr-2024,100004900886767,155860881123368,1551739,365.36,10-Apr-2024,,
92,09-Apr-2024,100004905093281,155711882519004,1551744,5648.1,10-Apr-2024,,
93,09-Apr-2024,100004899482195,948948880586173,1551713,2020,10-Apr-2024,,
94,09-Apr-2024,100004710550088,445521816420429,1551726,480.28,10-Apr-2024,,
95,09-Apr-2024,100004901312774,193091881195670,1551737,3601.08,10-Apr-2024,,
96,09-Apr-2024,100004905928420,110703882792192,1551748,2840,10-Apr-2024,,
97,09-Apr-2024,100004905217868,145859882643821,1551750,1740,10-Apr-2024,,
98,09-Apr-2024,100004904758661,668556882415954,1551751,1705.4,10-Apr-2024,,
99,09-Apr-2024,100004904561369,111094882341628,1551752,1128.6,10-Apr-2024,,
100,09-Apr-2024,100004878094722,118159872084357,1551753,220.72,10-Apr-2024,,
101,09-Apr-2024,100004802800904,191546845468642,1551754,720,10-Apr-2024,,
102,09-Apr-2024,100004905453723,964378882700392,1551755,785,10-Apr-2024,,
103,09-Apr-2024,100004904778722,549678882436940,1551756,167.7,10-Apr-2024,,
104,09-Apr-2024,100004900922496,119958881123735,1551757,450.36,10-Apr-2024,,
105,09-Apr-2024,100004904354916,921605882331886,1551758,1780.85,10-Apr-2024,,
106,09-Apr-2024,100004904301028,513383882284429,1551759,6455.4,10-Apr-2024,,
107,09-Apr-2024,100004904375105,209877882286954,1551760,1140.85,10-Apr-2024,,
108,09-Apr-2024,100004827643719,102734853993852,1551761,1450,10-Apr-2024,,
109,09-Apr-2024,100004776240571,854625836500008,1551762,1070.28,10-Apr-2024,,
110,09-Apr-2024,100004879235765,122113872743976,1551763,5380,10-Apr-2024,,
111,09-Apr-2024,100004904749855,184900882422316,1551764,177.7,10-Apr-2024,,
112,05-Apr-2024,100004892876277,317931877891452,1551765,265,10-Apr-2024,,
113,04-Apr-2024,100004894839712,102307878762297,1551766,1085,10-Apr-2024,,
114,08-Apr-2024,100004902754778,192305881462251,1551704,1188.15,10-Apr-2024,,
115,08-Apr-2024,100004898537826,201562880279551,1551705,2090.36,10-Apr-2024,,
116,08-Apr-2024,100004871412902,891716869814061,1551706,815.36,10-Apr-2024,,
117,08-Apr-2024,100004823548942,213137852248767,1551707,640.36,10-Apr-2024,,
118,08-Apr-2024,100004654653908,118503800269477,1551708,80.28,10-Apr-2024,,
119,08-Apr-2024,100004895754871,142117879286987,1551709,150.72,10-Apr-2024,,
120,08-Apr-2024,100004894856209,129633878712173,1551710,465,10-Apr-2024,,
121,08-Apr-2024,100004775794353,178513836113804,1551711,140.28,10-Apr-2024,,
122,08-Apr-2024,100004861331189,564661866137759,1551712,1520,10-Apr-2024,,
